id_bairro;desc_bairro
381;BIRRO FRAGA
382;BNH
383;BOA ESPERANCA
384;BOA SORTE
385;BOA VIAGEM
386;BOA VISTA
387;BOA VISTA DE SAO CAETANO
388;BOCA DO RIO
389;BODANESE
390;BOEHMERWALD
391;BOICUCANGA
392;BOLACHA
393;BOM FIM
394;BOM FUTURO
395;BOM JARDIM
396;BOM JESUS
397;BOM JESUS DO BAGRE
398;BOM PASTOR
399;BOM PRINCIPIO
400;BOM RETIRO
401;BOM SUCESSO
402;BOMBA
403;BOMBAS
404;BOMFIM
405;BONFIM
406;BONFIM PAULISTA
407;BONJI
408;BONSUCESSO
409;BOQUEIRAO
410;BORA
411;BORACEIA
412;BORDA DO CAMPO
413;BORORE
414;BOSQUE
415;BOSQUE DA SAUDE
416;BOSQUE DO VIANNA
417;BOSQUE DOS EUCALIPTOS
418;BOTAFOGO
419;BOTAFOGO JUSTINOPOLIS
420;BOTELHO
421;BOTUCARAI
422;BOTUJURU
423;BOUQUEIRAO
424;BPS
425;BR 163
426;BRACO DO TROMBUDO
427;BRAGANCA PAULISTA
428;BRAS
429;BRAS CUBAS
430;BRAS DE PINA
431;BRASIL
432;BRASILANDIA
433;BRASILIA
434;BRASILIA TEIMOSA
435;BRASILIANO
436;BRASILIT
437;BRAUNES
438;BRAZ DE PINA
439;BRAZLANDIA
440;BREJAO
441;BRILHANTE
442;BRITADEIRA
443;BROMELIAS
444;BROOKLIN
445;BROOKLIN NOVO
446;BROOKLIN PAULISTA
447;BROTAS
448;BUCAREIN
449;BURGO PAULISTA
450;BURITIRAMA
451;BURITIS
452;BUTANTA
453;C MANGABEIRA VII
454;CABANAGEM
455;CABREUVA
456;CABULA
457;CABULA VI
458;CACHAMBI
459;CACHOEIRA
460;CACHOEIRA ALEGRE
461;CACHOEIRA DA ONCA
462;CACHOEIRA DO BOM JESUS
463;CACHOEIRA DO CAMPO
464;CACHOEIRA DO VALE
465;CACHOEIRA DOS PINTOS
466;CACHOEIRINHA
467;CACOAL
468;CACUIA
469;CADEIA VELHA
470;CAETES VELHO
471;CAICARAS
472;CAIOBA
473;CAIPE DE CIMA
474;CAIS DO PORTO
475;CAJU
476;CAJUEIRO
477;CAJUEIRO SECO
478;CAJUEIROS
479;CAJURU
480;CALAFATE
481;CALDAS
482;CALHAU
483;CALHEIROS
484;CALIFORNIA
485;CALMON VIANA
486;CALUMBI
487;CAMACARI
488;CAMARGOS
489;CAMBO VELHO
490;CAMBUCI
491;CAMBUI
492;CAMBURY
493;CAMILOPOLIS
494;CAMINHO DAS ARVORES
495;CAMOBI
496;CAMPECHE
497;CAMPESTRE
498;CAMPINA
499;CAMPINA DA BARRA
500;CAMPINA DO BARRETO
501;CAMPINA DO SIQUEIRA
502;CAMPINA DOS PRETOS
503;CAMPINAL
504;CAMPINAS
505;CAMPINAS DE BROTAS
506;CAMPINHO
507;CAMPO ALEGRE
508;CAMPO BELO
509;CAMPO COMPRIDO
510;CAMPO DE AVIACAO
511;CAMPO DE SANTANA
512;CAMPO DO GADO
513;CAMPO GRANDE
514;CAMPO LARGO ROSEIRA
515;CAMPO LIMPO
516;CAMPO REAL II
517;CAMPO VELHO
518;CAMPO VERDE
519;CAMPO VICENTE
520;CAMPOS ELISEOS
521;CAMPPO
522;CAMPUS
523;CANAA
524;CANAA I
525;CANABARRO
526;CANADA
527;CANARINA
528;CANASVIEIRAS
529;CANDEAL
530;CANDEIAS
531;CANDELARIA
532;CANDIOTA
533;CANECAO
534;CANELEIRA
535;CANGAIBA
536;CANGO
537;CANHEMA
538;CANINDE
539;CANTA GALO
540;CANTAGALO
541;CANTO DO FORTE
542;CANTO DO MAR
543;CANUDOS
544;CAP PEDRO SAMPAIO
545;CAPAO DA IMBUIA
546;CAPAO NOVO
547;CAPAO RASO
548;CAPAO REDONDO
549;CAPELA DO PISSARAO
550;CAPELA DO SOCORRO
551;CAPIBARIBE
552;CAPIM FINO
553;CAPITUBA
554;CAPIVARA
555;CAPIVARI
556;CAPIVARI CACHOEIRA
557;CAPUAVA
558;CARACOL
559;CARAGUAVA
560;CARAJAS
561;CARAMUJO
562;CARANA
563;CARANDIRU
564;CARANGOLA
565;CARAPINA
566;CARAVELAS
567;CARDOSO CONTINUACAO
568;CARIACICA SEDE
569;CARIANOS
570;CARIJO
571;CARIJOS
572;CARLITO PAMPLONA
573;CARLOS PRATES
574;CARMO
575;CARNIEL
576;CARREIROS
577;CASA
578;CASA AMARELA
579;CASA FORTE
580;CASA GRANDE
581;CASA VERDE
582;CASA VERDE ALTA
583;CASAS POPULARES
584;CASCADURA
585;CASCALHO
586;CASCATA
587;CASCATINHA
588;CASEB
589;CASSINO
590;CASTANHO
591;CASTELANDIA
592;CASTELO
593;CASTELO BRANCO
594;CATARINENSE
595;CATHARINA ZANAGA
596;CATOLE
597;CATUABA
598;CATUNDA
599;CAVALHADA
600;CAXAMBU
601;CAXANGA
602;CAXIMBA
603;CAXUXA
604;CDHU
605;CECAP
606;CEILANDIA
607;CEILANDIA NORTE CEILANDIA
608;CEILANDIA SUL
609;CEILANDIA SUL CEILANDIA
610;CEMTRO
611;CENTENARIO
612;CENTRAL
613;CENTRAL PARK
614;CENTRO
615;CENTRO ALTO
616;CENTRO ARCADAS
617;CENTRO CIVICO
618;CENTRO COMERCIAL
619;CENTRO DE TREINAM
620;CENTRO HISTORICO
621;CENTRO IBIRAJA
622;CENTRO INDUSTRIAL
623;CENTRO INDUSTRIAL DO CERRADO
624;CENTRO MANILHA
625;CENTRO NORTE
626;CENTRO OESTE
627;CENTRO PIRABEIRABA
628;CENTRO SUL
629;CENTROQ
630;CERAMICA
631;CERQUEIRA CESAR
632;CERRADO
633;CERVEZAO
634;CESTOL
635;CEU AZUL
636;CEU AZUL II
637;CEZAR DE PINA
638;CHAC RURAIS S MARIA
639;CHACARA
640;CHACARA AGRINDUS
641;CHACARA AVIACAO
642;CHACARA CANTA GALO
643;CHACARA DA BARRA
644;CHACARA DA LUA
645;CHACARA DAS PAINEIRAS
646;CHACARA DAS UVAS
647;CHACARA DO ITAIM
648;CHACARA DO PILAR
649;CHACARA DO VISCONDE
650;CHACARA FLORA
651;CHACARA HORIZONTE
652;CHACARA INGLESA
653;CHACARA MALOTA
654;CHACARA SANTA ETELVINA
655;CHACARA SANTO ANTONIO ZONA SUL
656;CHACARA SAO JOAO
657;CHACARA SAO LUIS
658;CHACARA SEIS DE OUTUBRO
659;CHACARA TRES MARIAS
660;CHACARAS CAMPOS DOS AMARAIS
661;CHACARAS MARIA INES
662;CHACARAS SAO BENTO
663;CHAFARIZ
664;CHAME
665;CHAMPAGNAT
666;CHAPADA
667;CHARNECA
668;CHARQUEADA
669;CHORA MENINO
670;CIA I
671;CIC
672;CICERO DIAS II
