id_municipio;desc_municipio
400;CAMPO BONITO
401;CAMPO DO TENENTE
402;CAMPO ERE
403;CAMPO FORMOSO
404;CAMPO GRANDE
405;CAMPO GRANDE DO PIAUI
406;CAMPO LARGO
407;CAMPO LIMPO PAULISTA
408;CAMPO MAGRO
409;CAMPO MAIOR
410;CAMPO MOURAO
411;CAMPO NOVO DO PARECIS
412;CAMPO VERDE
413;CAMPOS BELOS
414;CAMPOS BORGES
415;CAMPOS DO JORDAO
416;CAMPOS DOS GOYTACAZES
417;CAMPOS NOVOS PAULISTA
418;CANAA DOS CARAJAS
419;CANANEIA
420;CANAPOLIS
421;CANARANA
422;CANDEIAS
423;CANDEIAS DO JAMARI
424;CANDELARIA
425;CANDIDO DE ABREU
426;CANDIDO MOTA
427;CANDIOTA
428;CANDOI
429;CANELA
430;CANELINHA
431;CANGUARETAMA
432;CANGUCU
433;CANINDE
434;CANOAS
435;CANTAGALO
436;CANTANHEDE
437;CAPANEMA
438;CAPAO BONITO
439;CAPAO DA CANOA
440;CAPAO DO LEAO
441;CAPELA
442;CAPELA DO ALTO
443;CAPINOPOLIS
444;CAPINZAL
445;CAPISTRANO
446;CAPITAO ENEAS
447;CAPIVARI
448;CAPIVARI DO SUL
449;CAPIXABA
450;CARACARAI
451;CARACOL
452;CARAGUATATUBA
453;CARAMBEI
454;CARANDAI
455;CARANGOLA
456;CARAPICUIBA
457;CARATINGA
458;CARAUBAS
459;CARAVELAS
460;CARAZINHO
461;CARDEAL DA SILVA
462;CARDOSO
463;CAREIRO
464;CAREIRO DA VARZEA
465;CARIACICA
466;CARINHANHA
467;CARIRE
468;CARIRI DO TOCANTINS
469;CARIUS
470;CARLINDA
471;CARLOPOLIS
472;CARLOS BARBOSA
473;CARLOS CHAGAS
474;CARMO DO CAJURU
475;CARMOPOLIS
476;CARMOPOLIS DE MINAS
477;CARNAUBAIS
478;CARNEIROS
479;CAROLINA
480;CARPINA
481;CARRANCAS
482;CARUARU
483;CASA BRANCA
484;CASA NOVA
485;CASCAVEL
486;CASIMIRO DE ABREU
487;CASINHAS
488;CASSIA DOS COQUEIROS
489;CASTANHAL
490;CASTELO
491;CASTILHO
492;CASTRO
493;CATAGUASES
494;CATALAO
495;CATANDUVA
496;CATANDUVAS
497;CATENDE
498;CATIGUA
499;CATOLE DO ROCHA
500;CATU
501;CAUCAIA
502;CAVALCANTE
503;CAXAMBU
504;CAXAMBU DO SUL
505;CAXIAS
506;CAXIAS DO SUL
507;CEARA MIRIM
508;CEDRAL
509;CEDRO
510;CENTRALINA
511;CEREJEIRAS
512;CERES
513;CERQUEIRA CESAR
514;CERQUILHO
515;CERRITO
516;CERRO GRANDE DO SUL
517;CERRO LARGO
518;CESARIO LANGE
519;CHAPADA DE AREIA
520;CHAPADA DO NORTE
521;CHAPADA DOS GUIMARAES
522;CHAPADAO DO CEU
523;CHAPADAO DO SUL
524;CHAPADINHA
525;CHAPECO
526;CHARQUEADA
527;CHAVANTES
528;CHOPINZINHO
529;CHUPINGUAIA
530;CIANORTE
531;CIDADE OCIDENTAL
532;CIDREIRA
533;CIRIACO
534;CLEMENTINA
535;COARACI
536;COARI
537;CODAJAS
538;CODO
539;COELHO NETO
540;COITE DO NOIA
541;COLARES
542;COLATINA
543;COLIDER
544;COLINA
545;COLINAS
546;COLOMBIA
547;COLOMBO
548;COLORADO
549;COLUNA
550;COMBINADO
551;COMODORO
552;CONCEICAO DA APARECIDA
553;CONCEICAO DA BARRA
554;CONCEICAO DE IPANEMA
555;CONCEICAO DO ARAGUAIA
556;CONCEICAO DO CANINDE
557;CONCEICAO DO COITE
558;CONCEICAO DO JACUIPE
559;CONCEICAO DO LAGO ACU
560;CONCEICAO DO PARA
561;CONCEICAO DO TOCANTINS
562;CONCEICAO DOS OUROS
563;CONCHAL
564;CONCHAS
565;CONCORDIA
566;CONDADO
567;CONDE
568;CONFINS
569;CONGONHAS
570;CONQUISTA
571;CONSELHEIRO LAFAIETE
572;CONTAGEM
573;CONTENDA
574;CORBELIA
575;CORDEIRO
576;CORDEIROPOLIS
577;CORDILHEIRA ALTA
578;CORDISBURGO
579;COREAU
580;COREMAS
581;CORINTO
582;CORNELIO PROCOPIO
583;COROACI
584;COROATA
585;CORONEL BICACO
586;CORONEL FABRICIANO
587;CORONEL SAPUCAIA
588;CORONEL VIVIDA
589;CORRENTE
590;CORRENTINA
591;CORUMBA
592;CORUMBA DE GOIAS
593;CORUMBATAI
594;CORUMBIARA
595;CORUPA
596;CORURIPE
597;COSMOPOLIS
598;COSMORAMA
599;COSTA MARQUES
600;COTIA
601;COXIM
602;CRAIBAS
603;CRATEUS
604;CRATO
605;CRAVINHOS
606;CRICIUMA
607;CRISSIUMAL
608;CRISTAIS PAULISTA
609;CRISTALINA
610;CRISTINA
611;CRISTINO CASTRO
612;CRUZ ALTA
613;CRUZ DAS ALMAS
614;CRUZ MACHADO
615;CRUZEIRO
616;CRUZEIRO DO OESTE
617;CRUZILIA
618;CUBATAO
619;CUIABA
620;CUITE
621;CUJUBIM
622;CUMARU
623;CUNHA
624;CUNHA PORA
625;CUPIRA
626;CURIONOPOLIS
627;CURITIBA
628;CURIUVA
629;CURRAIS NOVOS
630;CURUCA
631;CURVELO
632;DAMIAO
633;DELMIRO GOUVEIA
634;DEODAPOLIS
635;DESCALVADO
636;DESCOBERTO
637;DESTERRO
638;DIADEMA
639;DIAMANTE
640;DIAMANTINA
641;DIAMANTINO
642;DIANOPOLIS
643;DIAS D AVILA
644;DIVINESIA
645;DIVINO
646;DIVINOPOLIS
647;DIVISA NOVA
648;DOBRADA
649;DOIS CORREGOS
650;DOIS IRMAOS
651;DOIS LAJEADOS
652;DOIS VIZINHOS
653;DOM AQUINO
654;DOM BASILIO
655;DOM ELISEU
656;DOM EXPEDITO LOPES
657;DOM JOAQUIM
658;DOM PEDRITO
659;DOM VICOSO
660;DOMINGOS MARTINS
661;DONA EUZEBIA
662;DORES DO RIO PRETO
663;DOURADOS
664;DOVERLANDIA
665;DRACENA
666;DUAS BARRAS
667;DUQUE DE CAXIAS
668;ECHAPORA
669;ECOPORANGA
670;EIRUNEPE
671;ELDORADO
672;ELDORADO DO SUL
673;ELDORADO DOS CARAJAS
674;ELISIARIO
675;EMBAUBA
676;EMBU DAS ARTES
677;EMBU GUACU
678;EMILIANOPOLIS
679;ENCANTADO
680;ENGENHEIRO BELTRAO
681;ENGENHEIRO CALDAS
682;ENGENHEIRO COELHO
683;ENGENHEIRO NAVARRO
684;ENTRE IJUIS
685;ENTRE RIOS
686;ENTRE RIOS DE MINAS
687;ERECHIM
688;ERICO CARDOSO
689;ERVAL VELHO
690;ERVALIA
691;ESCADA
692;ESPERANCA
693;ESPERANTINA
694;ESPERANTINOPOLIS
695;ESPIGAO ALTO DO IGUACU
696;ESPIGAO DO OESTE
697;ESPIRITO SANTO DO PINHAL
698;ESPLANADA
699;ESPUMOSO
700;ESTANCIA
701;ESTANCIA VELHA
702;ESTEIO
703;ESTREITO
704;ESTRELA
705;ESTRELA D OESTE
706;ESTRELA VELHA
707;EUCLIDES DA CUNHA
708;EUGENOPOLIS
709;EUNAPOLIS
710;EUSEBIO
711;EXTREMA
712;EXTREMOZ
713;EXU
714;FARIAS BRITO
715;FARROUPILHA
716;FARTURA
717;FATIMA
718;FAXINAL
719;FAZENDA RIO GRANDE
720;FEIRA DE SANTANA
721;FELICIO DOS SANTOS
722;FERNANDOPOLIS
723;FERNAO
724;FERRAZ DE VASCONCELOS
725;FERROS
726;FILADELFIA
727;FLORES DA CUNHA
728;FLORESTAL
729;FLORIANO
730;FLORIANOPOLIS
