cd_cnpj;de_ramo_atividade_principal;cod_ramo_atividade_principal;cd_ramo_atividade;nu_ordem;de_ramo_atividade
12867015000130;SERVICOS DE MONTAGEM DE MOVEIS DE QUALQUER MATERIAL;3329501;3329501;0;SERVICOS DE MONTAGEM DE MOVEIS DE QUALQUER MATERIAL
00369525000280;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;4781400;0;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
11823152000100;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;1411801;1411801~@~1412602~@~4781400~@~4782201~@~4789001;0~@~1~@~2~@~3~@~4;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS~@~COMERCIO VAREJISTA DE CALCADOS~@~COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS~@~CONFECCAO DE ROUPAS INTIMAS~@~CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS
17008642000130;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4520001;4520001~@~4520003~@~4530703;0~@~1~@~2;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
17023445000190;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;4742300;4742300~@~4744003~@~4744099;0~@~1~@~2;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL~@~COMERCIO VAREJISTA DE MATERIAIS HIDRAULICOS~@~COMERCIO VAREJISTA DE MATERIAL ELETRICO
01427229000170;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE TEXTEIS, VESTUARIO, CALCADOS E ARTIGOS DE VIAGEM;4616800;4616800;0;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE TEXTEIS, VESTUARIO, CALCADOS E ARTIGOS DE VIAGEM
04475625000160;LOCACAO DE AUTOMOVEIS SEM CONDUTOR;4929901;4929901~@~4929902~@~4929904~@~7711000;0~@~1~@~2~@~3;LOCACAO DE AUTOMOVEIS SEM CONDUTOR~@~ORGANIZACAO DE EXCURSOES EM VEICULOS RODOVIARIOS PROPRIOS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL~@~TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL~@~TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL
12070792000150;COMERCIO VAREJISTA DE MOVEIS;4754701;4754701~@~4789099;0~@~1;COMERCIO VAREJISTA DE MOVEIS~@~COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
13893114000150;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;9602501;9602501~@~9602502;0~@~1;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA~@~CABELEIREIROS, MANICURE E PEDICURE
13048317000140;FABRICACAO DE MASSAS ALIMENTICIAS;1094500;1094500;0;FABRICACAO DE MASSAS ALIMENTICIAS
12217244000100;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;9602501;9602501~@~9602502;0~@~1;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA~@~CABELEIREIROS, MANICURE E PEDICURE
13357858000150;COMERCIO VAREJISTA DE BEBIDAS;4723700;4723700;0;COMERCIO VAREJISTA DE BEBIDAS
13206433000140;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;4744099;4744099;0;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL
13784561000170;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;4772500;4772500~@~9602501~@~9602502;0~@~1~@~2;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA~@~CABELEIREIROS, MANICURE E PEDICURE~@~COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL
11549984000180;OBRAS DE ALVENARIA;4399103;4399103~@~5320201;0~@~1;OBRAS DE ALVENARIA~@~SERVICOS DE MALOTE NAO REALIZADOS PELO CORREIO NACIONAL
05563670000130;FABRICACAO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS;2542000;2542000;0;FABRICACAO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS
